,state,lat,lng,population,location,county
2046,Colorado,40.1026,-106.1183,15724,"(40.1026, -106.1183)",Grand County
2047,Illinois,38.7124,-88.0851,15716,"(38.7124, -88.0851)",Richland County
2048,Illinois,41.2053,-90.7414,15692,"(41.2053, -90.7414)",Mercer County
2049,Oklahoma,36.3169,-96.6992,15682,"(36.3169, -96.6992)",Pawnee County
2050,Virginia,37.143,-78.0512,15638,"(37.143, -78.0512)",Nottoway County
2051,Wisconsin,43.8196,-89.3987,15619,"(43.8196, -89.3987)",Marquette County
2052,Iowa,43.0599,-92.789,15601,"(43.0599, -92.789)",Floyd County
2053,Illinois,42.0687,-89.9343,15594,"(42.0687, -89.9343)",Carroll County
2054,Georgia,33.0549,-82.4182,15591,"(33.0549, -82.4182)",Jefferson County
2055,Missouri,36.2114,-89.7854,15555,"(36.2114, -89.7854)",Pemiscot County
2056,Mississippi,32.0414,-88.6894,15553,"(32.0414, -88.6894)",Clarke County
2057,Illinois,40.1746,-88.9041,15535,"(40.1746, -88.9041)",De Witt County
2058,Virginia,36.9316,-80.3625,15532,"(36.9316, -80.3625)",Floyd County
2059,West Virginia,39.133,-80.003,15527,"(39.133, -80.003)",Barbour County
2060,Florida,30.0439,-82.3714,15524,"(30.0439, -82.3714)",Union County
2061,Idaho,42.971,-114.8115,15520,"(42.971, -114.8115)",Gooding County
2062,Indiana,39.1962,-86.2274,15513,"(39.1962, -86.2274)",Brown County
2063,Oklahoma,34.0245,-96.7691,15494,"(34.0245, -96.7691)",Marshall County
2064,Indiana,39.8538,-87.464,15488,"(39.8538, -87.464)",Vermillion County
2065,Virginia,37.2693,-76.7076,15486,"(37.2693, -76.7076)",City of Williamsburg
2066,Illinois,39.3336,-87.7877,15467,"(39.3336, -87.7877)",Clark County
2067,Alabama,31.4076,-88.2079,15434,"(31.4076, -88.2079)",Washington County
2068,Minnesota,44.4037,-95.2538,15428,"(44.4037, -95.2538)",Redwood County
2069,Missouri,38.6328,-92.5831,15401,"(38.6328, -92.5831)",Moniteau County
2070,Louisiana,30.8798,-91.42,15358,"(30.8798, -91.42)",West Feliciana Parish
2071,Virginia,36.6565,-81.2249,15356,"(36.6565, -81.2249)",Grayson County
2072,Indiana,40.3113,-86.0519,15328,"(40.3113, -86.0519)",Tipton County
2073,Illinois,38.72,-87.7268,15302,"(38.72, -87.7268)",Lawrence County
2074,Minnesota,48.7751,-95.8108,15294,"(48.7751, -95.8108)",Roseau County
2075,Oklahoma,35.9454,-97.9421,15290,"(35.9454, -97.9421)",Kingfisher County
2076,Iowa,40.7391,-95.1502,15225,"(40.7391, -95.1502)",Page County
2077,New Mexico,34.6405,-105.8508,15203,"(34.6405, -105.8508)",Torrance County
2078,Missouri,39.8308,-92.5646,15173,"(39.8308, -92.5646)",Macon County
2079,Virginia,37.7878,-80.0062,15159,"(37.7878, -80.0062)",City of Covington
2080,Alabama,33.6745,-85.5188,15144,"(33.6745, -85.5188)",Cleburne County
2081,Texas,30.781,-102.7235,15114,"(30.781, -102.7235)",Pecos County
2082,Kentucky,38.3701,-83.6966,15111,"(38.3701, -83.6966)",Fleming County
2083,Louisiana,32.302,-92.5578,15093,"(32.302, -92.5578)",Jackson Parish
